Testing on colliding input
Optimal integer Solution is 3.0
Solved iteration 0 with 1
Optimal integer Solution is 3.0
Solved iteration 1 with 1
Optimal integer Solution is 3.0
Solved iteration 2 with 1
Optimal integer Solution is 3.0
Solved iteration 3 with 1
Optimal integer Solution is 3.0
Solved iteration 4 with 1
Optimal integer Solution is 3.0
Solved iteration 5 with 1
Optimal integer Solution is 3.0
Solved iteration 6 with 1
Optimal integer Solution is 3.0
Solved iteration 7 with 1
Optimal integer Solution is 3.0
Solved iteration 8 with 1
Optimal integer Solution is 3.0
Solved iteration 9 with 1
Optimal integer Solution is 3.0
Solved iteration 10 with 1
Optimal integer Solution is 3.0
Solved iteration 11 with 1
Optimal integer Solution is 3.0
Solved iteration 12 with 1
Optimal integer Solution is 3.0
Solved iteration 13 with 1
Optimal integer Solution is 3.0
Solved iteration 14 with 1
Optimal integer Solution is 3.0
Solved iteration 15 with 1
Optimal integer Solution is 3.0
Solved iteration 16 with 1
Optimal integer Solution is 3.0
Solved iteration 17 with 1
Optimal integer Solution is 3.0
Solved iteration 18 with 1
Optimal integer Solution is 3.0
Solved iteration 19 with 1
Optimal integer Solution is 3.0
Solved iteration 20 with 1
Optimal integer Solution is 3.0
Solved iteration 21 with 1
Optimal integer Solution is 3.0
Solved iteration 22 with 1
Optimal integer Solution is 3.0
Solved iteration 23 with 1
Optimal integer Solution is 3.0
Solved iteration 24 with 1
Optimal integer Solution is 3.0
Solved iteration 25 with 1
Optimal integer Solution is 3.0
Solved iteration 26 with 1
Optimal integer Solution is 3.0
Solved iteration 27 with 1
Optimal integer Solution is 3.0
Solved iteration 28 with 1
Optimal integer Solution is 3.0
Solved iteration 29 with 1
Optimal integer Solution is 3.0
Solved iteration 30 with 1
Optimal integer Solution is 3.0
Solved iteration 31 with 1
Optimal integer Solution is 3.0
Solved iteration 32 with 1
Optimal integer Solution is 3.0
Solved iteration 33 with 1
Optimal integer Solution is 3.0
Solved iteration 34 with 1
Optimal integer Solution is 3.0
Solved iteration 35 with 1
Optimal integer Solution is 3.0
Solved iteration 36 with 1
Optimal integer Solution is 3.0
Solved iteration 37 with 1
Optimal integer Solution is 3.0
Solved iteration 38 with 1
Optimal integer Solution is 3.0
Solved iteration 39 with 1
Optimal integer Solution is 3.0
Solved iteration 40 with 1
Optimal integer Solution is 3.0
Solved iteration 41 with 1
Optimal integer Solution is 3.0
Solved iteration 42 with 1
Optimal integer Solution is 3.0
Solved iteration 43 with 1
Optimal integer Solution is 3.0
Solved iteration 44 with 1
Optimal integer Solution is 3.0
Solved iteration 45 with 1
Optimal integer Solution is 3.0
Solved iteration 46 with 1
Optimal integer Solution is 3.0
Solved iteration 47 with 1
Optimal integer Solution is 3.0
Solved iteration 48 with 1
Optimal integer Solution is 3.0
Solved iteration 49 with 1
Optimal integer Solution is 3.0
Solved iteration 50 with 1
Optimal integer Solution is 3.0
Solved iteration 51 with 1
Optimal integer Solution is 3.0
Solved iteration 52 with 1
Optimal integer Solution is 3.0
Solved iteration 53 with 1
Optimal integer Solution is 3.0
Solved iteration 54 with 1
Optimal integer Solution is 3.0
Solved iteration 55 with 1
Optimal integer Solution is 3.0
Solved iteration 56 with 1
Optimal integer Solution is 3.0
Solved iteration 57 with 1
Optimal integer Solution is 3.0
Solved iteration 58 with 1
Optimal integer Solution is 3.0
Solved iteration 59 with 1
Optimal integer Solution is 3.0
Solved iteration 60 with 1
Optimal integer Solution is 3.0
Solved iteration 61 with 1
Optimal integer Solution is 3.0
Solved iteration 62 with 1
Optimal integer Solution is 3.0
Solved iteration 63 with 1
Optimal integer Solution is 3.0
Solved iteration 64 with 1
Optimal integer Solution is 3.0
Solved iteration 65 with 1
Optimal integer Solution is 3.0
Solved iteration 66 with 1
Optimal integer Solution is 3.0
Solved iteration 67 with 1
Optimal integer Solution is 3.0
Solved iteration 68 with 1
Optimal integer Solution is 3.0
Solved iteration 69 with 1
Optimal integer Solution is 3.0
Solved iteration 70 with 1
Optimal integer Solution is 3.0
Solved iteration 71 with 1
Optimal integer Solution is 3.0
Solved iteration 72 with 1
Optimal integer Solution is 3.0
Solved iteration 73 with 1
Optimal integer Solution is 3.0
Solved iteration 74 with 1
Optimal integer Solution is 3.0
Solved iteration 75 with 1
Optimal integer Solution is 3.0
Solved iteration 76 with 1
Optimal integer Solution is 3.0
Solved iteration 77 with 1
Optimal integer Solution is 3.0
Solved iteration 78 with 1
Optimal integer Solution is 3.0
Solved iteration 79 with 1
Optimal integer Solution is 3.0
Solved iteration 80 with 1
Optimal integer Solution is 3.0
Solved iteration 81 with 1
Optimal integer Solution is 3.0
Solved iteration 82 with 1
Optimal integer Solution is 3.0
Solved iteration 83 with 1
Optimal integer Solution is 3.0
Solved iteration 84 with 1
Optimal integer Solution is 3.0
Solved iteration 85 with 1
Optimal integer Solution is 3.0
Solved iteration 86 with 1
Optimal integer Solution is 3.0
Solved iteration 87 with 1
Optimal integer Solution is 3.0
Solved iteration 88 with 1
Optimal integer Solution is 3.0
Solved iteration 89 with 1
Optimal integer Solution is 3.0
Solved iteration 90 with 1
Optimal integer Solution is 3.0
Solved iteration 91 with 1
Optimal integer Solution is 3.0
Solved iteration 92 with 1
Optimal integer Solution is 3.0
Solved iteration 93 with 1
Optimal integer Solution is 3.0
Solved iteration 94 with 1
Optimal integer Solution is 3.0
Solved iteration 95 with 1
Optimal integer Solution is 3.0
Solved iteration 96 with 1
Optimal integer Solution is 3.0
Solved iteration 97 with 1
Optimal integer Solution is 3.0
Solved iteration 98 with 1
Optimal integer Solution is 3.0
Solved iteration 99 with 1
1.0
