Testing on randomised input
Optimal integer Solution is 4.0
Solved iteration 0 with 1
Optimal integer Solution is 4.0
Solved iteration 1 with 3
Optimal integer Solution is 4.0
Solved iteration 2 with 6
Optimal integer Solution is 4.0
Solved iteration 3 with 1
Optimal integer Solution is 5.0
Solved iteration 4 with 2
Optimal integer Solution is 3.0
Did not reach solution
Optimal integer Solution is 4.0
Solved iteration 6 with 2
Optimal integer Solution is 4.0
Solved iteration 7 with 23
Optimal integer Solution is 3.0
Solved iteration 8 with 1
Optimal integer Solution is 4.0
Solved iteration 9 with 2
Optimal integer Solution is 3.0
Solved iteration 10 with 17
Optimal integer Solution is 3.0
Did not reach solution
Optimal integer Solution is 4.0
Solved iteration 12 with 3
Optimal integer Solution is 4.0
Solved iteration 13 with 1
Optimal integer Solution is 3.0
Solved iteration 14 with 32
Optimal integer Solution is 4.0
Solved iteration 15 with 1
Optimal integer Solution is 4.0
Solved iteration 16 with 1
Optimal integer Solution is 3.0
Solved iteration 17 with 27
Optimal integer Solution is 4.0
Solved iteration 18 with 3
Optimal integer Solution is 4.0
Solved iteration 19 with 4
Optimal integer Solution is 4.0
Solved iteration 20 with 1
Optimal integer Solution is 4.0
Solved iteration 21 with 1
Optimal integer Solution is 4.0
Solved iteration 22 with 9
Optimal integer Solution is 3.0
Did not reach solution
Optimal integer Solution is 4.0
Solved iteration 24 with 3
Optimal integer Solution is 4.0
Solved iteration 25 with 1
Optimal integer Solution is 4.0
Solved iteration 26 with 2
Optimal integer Solution is 4.0
Solved iteration 27 with 20
Optimal integer Solution is 3.0
Did not reach solution
Optimal integer Solution is 4.0
Solved iteration 29 with 2
Optimal integer Solution is 4.0
Solved iteration 30 with 1
Optimal integer Solution is 4.0
Solved iteration 31 with 1
Optimal integer Solution is 4.0
Solved iteration 32 with 1
Optimal integer Solution is 4.0
Solved iteration 33 with 1
Optimal integer Solution is 4.0
Solved iteration 34 with 3
Optimal integer Solution is 3.0
Solved iteration 35 with 9
Optimal integer Solution is 4.0
Solved iteration 36 with 1
Optimal integer Solution is 3.0
Did not reach solution
Optimal integer Solution is 3.0
Did not reach solution
Optimal integer Solution is 3.0
Solved iteration 39 with 3
Optimal integer Solution is 4.0
Solved iteration 40 with 1
Optimal integer Solution is 4.0
Solved iteration 41 with 1
Optimal integer Solution is 4.0
Solved iteration 42 with 1
Optimal integer Solution is 3.0
Did not reach solution
Optimal integer Solution is 4.0
Solved iteration 44 with 6
Optimal integer Solution is 3.0
Solved iteration 45 with 2
Optimal integer Solution is 4.0
Solved iteration 46 with 3
Optimal integer Solution is 4.0
Solved iteration 47 with 1
Optimal integer Solution is 4.0
Solved iteration 48 with 1
Optimal integer Solution is 4.0
Solved iteration 49 with 45
Optimal integer Solution is 4.0
Solved iteration 50 with 1
Optimal integer Solution is 3.0
Solved iteration 51 with 42
Optimal integer Solution is 4.0
Solved iteration 52 with 4
Optimal integer Solution is 4.0
Solved iteration 53 with 1
Optimal integer Solution is 4.0
Solved iteration 54 with 12
Optimal integer Solution is 3.0
Solved iteration 55 with 8
Optimal integer Solution is 3.0
Solved iteration 56 with 1
Optimal integer Solution is 4.0
Solved iteration 57 with 15
Optimal integer Solution is 4.0
Solved iteration 58 with 1
Optimal integer Solution is 3.0
Solved iteration 59 with 1
Optimal integer Solution is 3.0
Solved iteration 60 with 3
Optimal integer Solution is 4.0
Solved iteration 61 with 4
Optimal integer Solution is 3.0
Solved iteration 62 with 1
Optimal integer Solution is 3.0
Solved iteration 63 with 8
Optimal integer Solution is 4.0
Solved iteration 64 with 1
Optimal integer Solution is 4.0
Solved iteration 65 with 4
Optimal integer Solution is 4.0
Solved iteration 66 with 2
Optimal integer Solution is 4.0
Solved iteration 67 with 1
Optimal integer Solution is 4.0
Solved iteration 68 with 3
Optimal integer Solution is 4.0
Solved iteration 69 with 1
Optimal integer Solution is 4.0
Solved iteration 70 with 9
Optimal integer Solution is 4.0
Solved iteration 71 with 1
Optimal integer Solution is 4.0
Solved iteration 72 with 1
Optimal integer Solution is 4.0
Solved iteration 73 with 2
Optimal integer Solution is 4.0
Solved iteration 74 with 3
Optimal integer Solution is 4.0
Did not reach solution
Optimal integer Solution is 4.0
Solved iteration 76 with 6
Optimal integer Solution is 4.0
Solved iteration 77 with 1
Optimal integer Solution is 4.0
Solved iteration 78 with 1
Optimal integer Solution is 3.0
Did not reach solution
Optimal integer Solution is 4.0
Solved iteration 80 with 1
Optimal integer Solution is 4.0
Solved iteration 81 with 1
Optimal integer Solution is 4.0
Solved iteration 82 with 2
Optimal integer Solution is 4.0
Solved iteration 83 with 5
Optimal integer Solution is 4.0
Solved iteration 84 with 1
Optimal integer Solution is 4.0
Solved iteration 85 with 3
Optimal integer Solution is 4.0
Solved iteration 86 with 14
Optimal integer Solution is 4.0
Solved iteration 87 with 1
Optimal integer Solution is 4.0
Solved iteration 88 with 1
Optimal integer Solution is 3.0
Solved iteration 89 with 2
Optimal integer Solution is 3.0
Solved iteration 90 with 17
Optimal integer Solution is 4.0
Solved iteration 91 with 2
Optimal integer Solution is 4.0
Solved iteration 92 with 2
Optimal integer Solution is 3.0
Solved iteration 93 with 11
Optimal integer Solution is 3.0
Solved iteration 94 with 2
Optimal integer Solution is 4.0
Solved iteration 95 with 1
Optimal integer Solution is 3.0
Solved iteration 96 with 29
Optimal integer Solution is 3.0
Solved iteration 97 with 1
Optimal integer Solution is 4.0
Solved iteration 98 with 3
Optimal integer Solution is 4.0
Solved iteration 99 with 8
9.45
